Evidence,Property,Source,Genome Name,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),pbpG,Murein-DD-endopeptidase (EC 3.4.99.-),Ceftazidime,Drug target,,100,100,99,1.00E-173
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas putida,pcaH,"Protocatechuate 3,4-dioxygenase beta chain (EC 1.13.11.3)","2-(3,4-Dihydroxyphenyl)Acetic Acid",Drug target,,96,96,81,1.00E-116
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Outer membrane low permeability porin, OprD family => OccD2/OpdC",the outer membrane porin (opr) family.,1.B.25.1.12,10984043,100,100,99,1.00E-271
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,phzD1,2-amino-2-deoxy-isochorismate hydrolase PhzD (EC 3.-.-.-),,,,100,100,100,1.00E-118
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,rho,Transcription termination factor Rho,Transcription termination factor Rho,antibiotic target in susceptible species,8466900,,,,
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1 ,rhlB,"RhlB, TDP-rhamnosyltransferase 1 (EC 2.4.1.-)",,,14641575,100,100,99,1.00E-256
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),azoR1,FMN-dependent NADH-azoreductase (EC 1.7.1.6),2-(4-DIMETHYLAMINOPHENYL)DIAZENYLBENZOIC ACID,Drug target,,100,100,99,1.00E-116
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,pbpB,Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129),Cloxacillin;Cefepime;Doripenem;Ceftolozane,Drug target,,100,100,99,0
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Choline binding ABC transport system ATP-binding protein ChoV,the atp-binding cassette (abc) superfamily.,3.A.1.12.12,10984043,100,100,100,1.00E-226
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain PA7),,Inner membrane protein YpjD,the putative heme handling protein (hhp) family.,9.B.14.3.5,,100,100,96,1.00E-146
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MexJK-OprM/OpmH,"Multidrug efflux system, membrane fusion component => MexJ of MexJK-OprM/OpmH system","Multidrug efflux system, membrane fusion component => MexJ of MexJK-OprM/OpmH system",efflux pump conferring antibiotic resistance,12193619,,,,
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas fragi,fadA,3-ketoacyl-CoA thiolase (EC 2.3.1.16),"3,6,9,12,15-PENTAOXATRICOSAN-1-OL",Drug target,,99,99,90,1.00E-209
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,algW,Outer membrane stress sensor protease DegS,,,,100,100,100,1.00E-221
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,mexB,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM",,efflux pump conferring antibiotic resistance,,100,100,99,0
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,PA4692,Protein-methionine-sulfoxide reductase catalytic subunit MsrP,,,14641575,100,100,99,1.00E-199
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mexJ,"Multidrug efflux system, membrane fusion component => MexJ of MexJK-OprM/OpmH system",,efflux pump conferring antibiotic resistance,,100,100,99,1.00E-205
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas stutzeri ATCC 14405 = CCUG 16156,,Cytochrome c oxidase (cbb3-type) subunit CcoN (EC 1.9.3.1),the proton-translocating cytochrome oxidase (cox) superfamily.,3.D.4.3.3,20576851;22328767,98,98,90,1.00E-260
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pilF,Type IV pilus biogenesis protein PilF,,"Adherence,Twitching motility",,100,100,99,1.00E-139
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pchD,"2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [pyochelin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis",,"Iron uptake,Siderophore",,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,rhlC,"RhlC, TDP-rhamnosyltransferase 2 (EC 2.4.1.-)",,,,100,100,99,1.00E-186
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pilR,Type IV fimbriae expression regulatory protein PilR,,"Adherence,Twitching motility",,100,100,100,1.00E-254
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,O-antigen export system permease protein RfbD,the atp-binding cassette (abc) superfamily.,3.A.1.103.6,,100,100,99,1.00E-149
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,emrE,small multidrug resistance family (SMR) protein,,,,100,100,99,8.00E-53
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,PA4489,UPF0192 protein YfaS,,,14641575,100,99,99,0
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MexAB-OprM,"Multidrug efflux system, membrane fusion component => MexA of MexAB-OprM","Multidrug efflux system, membrane fusion component => MexA of MexAB-OprM",efflux pump conferring antibiotic resistance,8226684,,,,
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,phzA1,Phenazine biosynthesis protein PhzA,,,,90,90,96,2.00E-84
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,purL,"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3) / Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)",,,14641575,100,100,99,0
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Outer membrane low permeability porin, OprD family => OccK1/OpdK benzoate/histidine, carbenicillin and cefoxitin uptake",the outer membrane porin (opr) family.,1.B.25.1.8,10984043,100,100,100,1.00E-249
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,PA3286,beta-ketodecanoyl-[acyl-carrier-protein] synthase (EC 2.3.1.207),,,14641575,99,93,100,1.00E-198
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,phzF1,"Trans-2,3-dihydro-3-hydroxyanthranilate isomerase (EC 5.3.3.17)",,,,100,100,100,1.00E-161
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,TriABC-OpmH,"Multidrug efflux system, membrane fusion component => TriA of TriABC-OpmH system","Multidrug efflux system, membrane fusion component => TriA of TriABC-OpmH system",efflux pump conferring antibiotic resistance,17720796,,,,
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,OccD8/OpdJ,"Outer membrane low permeability porin, OprD family => OccD8/OpdJ coexpressed with pyoverdine biosynthesis regulon","Outer membrane low permeability porin, OprD family => OccD8/OpdJ coexpressed with pyoverdine biosynthesis regulon",protein modulating permeability to antibiotic,,,,,
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fliL,Flagellar basal body-associated protein FliL,,,,100,100,100,7.00E-91
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14,lasR,"N-(3-oxododecanoyl)-L-homoserine lactone-binding transcriptional activator @ Acyl-homoserine lactone-binding transcriptional activator, LuxR family @ Transcriptional regulator LasR",,,11867744,100,100,100,1.00E-137
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,ppkA,T6SS Serine/threonine protein kinase (EC 2.7.11.1) PpkA,,"Secretion system,Type VI secretion system",,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,flhB,Flagellar biosynthesis protein FlhB,,"Adherence,Motility",,100,100,100,1.00E-212
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,APH(3')-II/APH(3')-XV,Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-II/APH(3')-XV,Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-II/APH(3')-XV,antibiotic inactivation enzyme,6295884;10984043;17088477,,,,
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),gmd,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47)",Guanosine-5'-Diphosphate,Drug target,,100,100,100,1.00E-187
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),nirS,Nitrite reductase (EC 1.7.2.1),Heme C;Heme D,Drug target,,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pcrG,Type III secretion cytoplasmic plug protein (LcrG),,"Secretion system,Type III secretion system",,100,100,100,1.00E-48
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Na(+)-dependent branched-chain amino acid transporter,the branched chain amino acid:cation symporter (livcs) family.,2.A.26.1.2,10984043;1900503,100,100,100,1.00E-247
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Outer membrane low permeability porin, OprD family => OccK5/OpdH tricarboxylate",the outer membrane porin (opr) family.,1.B.25.1.10,10984043,100,100,99,1.00E-252
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,TriB,"Multidrug efflux system, membrane fusion component => TriB of TriABC-OpmH system",,efflux pump conferring antibiotic resistance,,100,100,99,1.00E-196
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mexA,"Multidrug efflux system, membrane fusion component => MexA of MexAB-OprM",,efflux pump conferring antibiotic resistance,,100,100,100,1.00E-213
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,exsE,FIG00962212: hypothetical protein,,"Secretion system,Type III secretion system",,100,100,97,8.00E-38
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,phzC1,2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II PhzC (EC 2.5.1.54),,,,100,100,100,1.00E-238
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,Cytochrome c heme lyase subunit CcmF,the putative heme handling protein (hhp) family.,9.B.14.1.7,,100,100,99,0
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas putida,,4-hydroxybenzoate transporter,the major facilitator superfamily (mfs).,2.A.1.15.1,7961399,97,97,84,1.00E-216
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),mexA,"Multidrug efflux system, membrane fusion component => MexA of MexAB-OprM",Glycerol,Drug target,,100,100,100,1.00E-213
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mexI,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexI of MexHI-OpmD system",,efflux pump conferring antibiotic resistance,,100,100,99,0
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Escherichia coli,,NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3),the h(+) or na(+)-translocating nadh dehydrogenase (ndh) family.,3.D.1.1.1,11997136;12718520;15919996;15996109;16079137;16738553;7607227;7690854;8157582;8366049;9205837;9278503;9298646,80,79,83,8.00E-89
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14,PA14_03120,"Transcriptional regulator, MarR family",,,18591226,97,100,98,5.00E-80
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1 ,clpV1,T6SS AAA+ chaperone ClpV (TssH),,,14641575,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,algZ,Alginate biosynthesis two-component system sensor histidine kinase AlgZ/FimS,,"Antiphagocytosis,Serum resistance",,100,100,100,1.00E-204
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa MH27,,Predicted hydrolase of alkaline phosphatase superfamily,the enterobacterial cardiolipin transporter (clt) family.,2.A.127.1.3,,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pscJ,"Type III secretion bridge between inner and outermembrane lipoprotein (YscJ,HrcJ,EscJ, PscJ)",,"Secretion system,Type III secretion system",,97,99,99,1.00E-131
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),oprP,Phosphate/pyrophosphate-specific outer membrane porin OprP/OprO,(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Drug target,,100,100,100,1.00E-262
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mucB,Sigma factor RpoE negative regulatory protein RseB precursor,,"Antiphagocytosis,Serum resistance",,100,100,100,1.00E-182
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas fluorescens,,"Various polyols ABC transporter, permease protein 2",the atp-binding cassette (abc) superfamily.,3.A.1.1.49,,99,99,86,1.00E-138
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Heme ABC transporter, cell surface heme and hemoprotein receptor HmuT",the atp-binding cassette (abc) superfamily.,3.A.1.14.21,10984043;8633080,100,100,100,1.00E-166
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Type I secretion system, outer membrane component LapE",the atp-binding cassette (abc) superfamily.,3.A.1.109.4,10984043,100,100,99,1.00E-239
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,gidB,16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170),16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170),gene conferring resistance via absence,17238915,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,hypothetical protein,the pseudomonas exotoxin a (p-exoa) family.,1.C.73.1.1,10600112;10984043;2118903;2170123;2885323;6201861;7568123;8692916,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,phzA1,Phenazine biosynthesis protein PhzA,,,,100,100,99,8.00E-96
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,modA,"Molybdenum ABC transporter, substrate-binding protein ModA",,,14641575,100,100,98,1.00E-136
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1 ,PA0073,"ABC transporter, ATP-binding protein",,,14641575,100,100,100,1.00E-132
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pilN,Type IV pilus biogenesis protein PilN,,"Adherence,Twitching motility",,100,100,100,1.00E-106
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,plcH,Phospholipase C (EC 3.1.4.3) => hemolytic PlcH,,"Toxin,Membrane-damaging,Phospholipase",,100,100,99,0
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,mexQ,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexQ of MexPQ-OpmE system",,efflux pump conferring antibiotic resistance,,100,100,99,0
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,"PTS system, fructose-specific IIB component (EC 2.7.1.202) / PTS system, fructose-specific IIB component (EC 2.7.1.202) / PTS system, fructose-specific IIC component",the pts fructose-mannitol (fru) family.,4.A.2.1.17,,100,100,99,0
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,pilF,Type IV pilus biogenesis protein PilF,,,18591226,100,100,100,1.00E-140
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,flgM,Negative regulator of flagellin synthesis FlgM (anti-sigma28),,,,100,100,100,2.00E-53
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,Methionine ABC transporter ATP-binding protein,the atp-binding cassette (abc) superfamily.,3.A.1.24.5,,100,100,100,1.00E-188
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,OccK5/OpdH,"Outer membrane low permeability porin, OprD family => OccK5/OpdH tricarboxylate","Outer membrane low permeability porin, OprD family => OccK5/OpdH tricarboxylate",protein modulating permeability to antibiotic,17114261,,,,
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,OpmH,Outer membrane channel TolC (OpmH),,efflux pump conferring antibiotic resistance,,100,100,97,1.00E-266
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),azu,Azurin,"S-Hydroxycysteine;Delta-Bis(2,2'-Bipyridine)Imidazole Ruthenium (Ii);4,7-Dimethyl-[1,10]Phenanthroline;Lambda-Bis(2,2'-Bipyridine)Imidazole Osmium (Ii);Tris-Hydroxymethyl-Methyl-Ammonium;Tetra(Imidazole)Diaquacopper (Ii);Lambda-Bis(2,2'-Bipyridine)Imidazole Ruthenium (Ii);1-[Pyrrol-1-Yl-2,5-Dione-Methoxymethyl]-Pyrrole-2,5-Dione;(1,10 Phenanthroline)-(Tri-Carbon Monoxide) Rhenium (I);Tetra(Imidazole)Diaquacopper (I);Delta-Bis(2,2'-Bipyridine)Imidazole Osmium (Ii);1,1'-HEXANE-1,6-DIYLBIS(1H-IMIDAZOLE)",Drug target,,100,100,100,1.00E-80
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,estA,Phospholipase/lecithinase/hemolysin,,,14641575,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pvdD,Pyoverdine sidechain non-ribosomal peptide synthetase PvdD @ Siderophore biosynthesis non-ribosomal peptide synthetase modules,,"Iron uptake,Siderophore,Pigment",,7,100,100,1.00E-107
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267),1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267),antibiotic target in susceptible species,16321944,,,,
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,dotU1,T6SS outer membrane component TssL (ImpK/VasF) / OmpA/MotB domain,,"Secretion system,Type VI secretion system",,100,100,100,1.00E-263
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,flgG,Flagellar basal-body rod protein FlgG,,"Adherence,Motility",,100,100,100,1.00E-146
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,galU,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9),,,15213167,100,100,100,1.00E-161
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14,pscJ,"Type III secretion bridge between inner and outermembrane lipoprotein (YscJ,HrcJ,EscJ, PscJ)",,,11867744,97,99,99,1.00E-131
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,OXA-50 family,"Class D beta-lactamase (EC 3.5.2.6) => OXA-50 family, oxacillin-hydrolyzing","Class D beta-lactamase (EC 3.5.2.6) => OXA-50 family, oxacillin-hydrolyzing",antibiotic inactivation enzyme,15155197,,,,
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAK,mexS,Putative oxidoreductase,,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,100,100,100,1.00E-195
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Type IV fimbrial biogenesis protein FimT,the outer membrane protein secreting main terminal branch (mtb) family.,3.A.15.2.1,10984043;1676385;1898929;1971619;2997119;7565109;7854122;7854130;8057924;8330261;8340405;8682785;8845350;9224881;9668097,100,100,98,5.00E-93
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,gyrA,DNA gyrase subunit A (EC 5.99.1.3),DNA gyrase subunit A (EC 5.99.1.3),antibiotic target in susceptible species,9293187,,,,
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,algB,Alginate biosynthesis two-component system response regulator AlgB,,"Antiphagocytosis,Serum resistance",,100,100,100,1.00E-254
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,oprN,"Multidrug efflux system, outer membrane factor lipoprotein => OprN of MexEF-OprN system",,efflux pump conferring antibiotic resistance,,100,100,100,1.00E-263
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,phzB1,Phenazine biosynthesis protein PhzB,,,,100,100,99,2.00E-97
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,OccK7/OpdD,"Outer membrane low permeability porin, OprD family => OccK7/OpdD, meropenem uptake","Outer membrane low permeability porin, OprD family => OccK7/OpdD, meropenem uptake",protein modulating permeability to antibiotic,22272184,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Multidrug efflux system, membrane fusion component => MexP of MexPQ-OpmE system",the resistance-nodulation-cell division (rnd) superfamily.,2.A.6.2.34,10984043;16301811,100,100,100,1.00E-216
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),hemB,Porphobilinogen synthase (EC 4.2.1.24),Formic Acid;5-Fluorolevulinic Acid,Drug target,,100,100,100,1.00E-191
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,OXA-50,"Class D beta-lactamase (EC 3.5.2.6) => OXA-50 family, oxacillin-hydrolyzing",,"antibiotic inactivation enzyme,beta-lactam resistance gene",,100,100,99,1.00E-151
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,arnA,UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) / UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating) (EC 1.1.1.305),,,,100,100,100,0
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),astA,"Arginine N-succinyltransferase, alpha subunit (EC 2.3.1.109)",Formic Acid,Drug target,,100,100,100,1.00E-192
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14 ,plcH,Phospholipase C (EC 3.1.4.3) => hemolytic PlcH,,,7604262,100,100,99,0
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,parE,DNA topoisomerase IV subunit B (EC 5.99.1.3),,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,100,100,100,0
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),gmhA,DnaA initiator-associating protein DiaA,D-Glycero-D-Mannopyranose-7-Phosphate,Drug target,,100,100,100,1.00E-106
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,fabV,"Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9), FabV => refractory to triclosan","Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9), FabV => refractory to triclosan",antibiotic target replacement protein,19933806;18032386,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Multidrug efflux system, outer membrane factor lipoprotein => OpmE of MexPQ-OpmE system",the resistance-nodulation-cell division (rnd) superfamily.,2.A.6.2.34,10984043;16301811,100,100,99,1.00E-277
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas fluorescens,,"Various polyols ABC transporter, permease protein 1",the atp-binding cassette (abc) superfamily.,3.A.1.1.49,,95,90,90,1.00E-146
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pscL,Type III secretion cytoplasmic protein (YscL),,"Secretion system,Type III secretion system",,100,100,100,1.00E-114
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Outer membrane channel TolC (OpmH),the resistance-nodulation-cell division (rnd) superfamily.,2.A.6.2.27,10984043,100,100,97,1.00E-266
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Phosphate/pyrophosphate-specific outer membrane porin OprP/OprO,the pseudomonas oprp porin (pop) family.,1.B.5.1.2,10984043;1406271,100,100,100,1.00E-261
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pvdD,Pyoverdine sidechain non-ribosomal peptide synthetase PvdD @ Siderophore biosynthesis non-ribosomal peptide synthetase modules,,"Iron uptake,Siderophore,Pigment",,9,99,100,1.00E-128
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pilW,Type IV fimbrial biogenesis protein PilW,,"Adherence,Twitching motility",,100,100,100,1.00E-155
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,"Branched-chain amino acid ABC transporter, permease protein LivM (TC 3.A.1.4.1)",the atp-binding cassette (abc) superfamily.,3.A.1.4.8,,100,100,100,1.00E-236
